Song,Lyrics,sentiment_label,sentiment_explanation
وإحنا معاك,"['انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك', 'انا', 'اغني', 'يقولوا', 'انت', 'تغني', 'واحنا', 'معاك', 'هقول', 'ليل', 'واقول', 'هقول', 'ليل', 'واقول', 'تهدي', 'حبه', 'تهدي', 'حبه', 'انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك', 'هقول', 'ليل', 'ليل', 'ليل', 'ليل', 'ليل', 'ليل', 'انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك', 'فرقتنا', 'تسعه', 'وشارعنا', 'تسعه', 'تقولوا', 'حاجه', 'ان', 'شالله', 'اهواك', 'فرقتنا', 'تسعه', 'وشارعنا', 'تسعه', 'تقولوا', 'حاجه', 'ان', 'شالله', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'اهواك', 'انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك', 'اديني', 'عقلك', 'اغني', 'ازاي', 'اهات', 'في', 'اهات', 'اديني', 'عقلك', 'اغني', 'ازاي', 'اللي', 'اهات', 'في', 'اهات', 'اهات', 'اه', 'اه', 'اه', 'اه', 'انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك', 'كوبليه', 'كمان', 'والغنوه', 'هتخلص', 'استر', 'اما', 'سجن', 'نبات', 'جانا', 'الفرج', 'سلام', 'سلم', 'ونور', 'صاحبنا', 'بعتلي', 'حاجات', 'ايه', 'ايه', 'ايه', 'ايه', 'ايه', 'ايه', 'ايه', 'ايه', 'معوضين', 'الدنيا', 'اتحدوا', 'الكون', 'مشاع', 'البدايات', 'معوضين', 'الدنيا', 'اتحدوا', 'الكون', 'مشاع', 'في', 'البدايات', 'والله', 'انا', 'فاهم', 'حاجه', 'نقطني', 'يابني', 'شويه', 'سكات', 'انت', 'تغني', 'واحنا', 'معاك', 'انت', 'تغني', 'واحنا', 'معاك']",Positive,"**Mixed**

The lyrics express a combination of feelings. The repetition of ""انت تغني واحنا معاك"" (""You sing and we are with you"") suggests support and unity, which is positive. However, phrases like ""ليل"" (night) repeated several times, ""اهات في اهات"" (sighs within sighs), and ""سجن نبات"" (prison plant) hint at sadness, longing, or confinement, contributing to a more melancholic or negative undertone. The final verses, while seemingly positive (""معوضين الدنيا"" - compensating the world, ""اتحدوا الكون"" - united the universe), are followed by confusion (""والله انا فاهم حاجة نقطني يابني شوية سكات"" - ""Honestly, I understand something, give me a little silence""). This mix of support, melancholy, and confusion makes the overall sentiment mixed."
أيس كريم في جليم,"['ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'الناس', 'حاسين', 'بالبرد', 'قلبي', 'شم', 'نسيم', 'الناس', 'حاسين', 'بالبرد', 'قلبي', 'شم', 'نسيم', 'الناس', 'حاسين', 'بالبرد', 'قلبي', 'شم', 'نسيم', 'الناس', 'حاسين', 'بالبرد', 'قلبي', 'شم', 'نسيم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'انا', 'جوه', 'دماغي', 'حاجات', 'هتغير', 'وجه', 'الكون', 'احلام', 'الوفات', 'الوفات', 'وهطولها', 'وفين', 'شمس', 'الدنيا', 'غابت', 'انا', 'شمسي', 'تشق', 'الغيم', 'شمس', 'الدنيا', 'غابت', 'انا', 'شمسي', 'تشق', 'الغيم', 'شمس', 'الدنيا', 'غابت', 'انا', 'شمسي', 'تشق', 'الغيم', 'شمس', 'الدنيا', 'غابت', 'انا', 'شمسي', 'تشق', 'الغيم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'انا', 'مالوف', 'امبارح', 'الجاي', 'مالوف', 'قلبي', 'الورد', 'الطارح', 'اشواك', 'خوف', 'وهعاند', 'ايوه', 'هعاند', 'دايما', 'تسليم', 'وهعاند', 'ايوه', 'هعاند', 'دايما', 'تسليم', 'وهعاند', 'ايوه', 'هعاند', 'دايما', 'تسليم', 'وهعاند', 'ايوه', 'هعاند', 'دايما', 'تسليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم', 'ايس', 'كريم', 'ايس', 'كريم', 'جليم']",Positive,"**Mixed**

Explanation:

*   **Positive:** The repetition of ""Ice cream"" and ""Gleem"" (assuming ""Gleem"" has a positive connotation in this context, possibly referring to a shining or attractive quality) creates a catchy and potentially upbeat feeling. Phrases like ""قلبي شم نسيم"" (my heart smells the breeze) evoke a sense of freshness and positivity. The line ""انا شمسي تشق الغيم"" (my sun pierces the clouds) is a metaphor for overcoming darkness and negativity, adding a hopeful element.
*   **Negative:** The lyrics mention ""الناس حاسين بالبرد"" (people are feeling the cold), indicating a state of discomfort or unhappiness around the speaker. There's also ""اشواك خوف"" (thorns of fear) which brings forth a negative emotion.
*   **Neutral:** The repetition of ""Ice Cream"" and ""Gleem"" could be considered neutral depending on the overall context and how it's presented musically. ""انا مالوف امبارح الجاي مالوف"" (I am familiar, yesterday, the future is familiar) is neutral and describes a feeling of comfort."
الماضي,"['بلاش', 'نتكلم', 'جراح', 'دمت', 'حبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'بعيونك', 'اه', 'الاحلام', 'بلاش', 'نتكلم', 'جراح', 'دمت', 'بحبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'بلاش', 'نتكلم', 'جراح', 'دمت', 'بحبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'بعيونك', 'اه', 'الاحلام', 'انتهي', 'عرفتها', 'عرفت', 'انها', 'حبتني', 'اكيد', 'حسيت', 'وقتها', 'اني', 'بحبها', 'وابتدي', 'حبها', 'جوايا', 'يزيد', 'انتهي', 'عرفتها', 'عرفت', 'انها', 'حبتني', 'اكيد', 'حسيت', 'وقتها', 'اني', 'بحبها', 'وابتدي', 'حبها', 'جوايا', 'يزيد', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'بعيونك', 'اه', 'الاحلام', 'بلاش', 'نتكلم', 'جراح', 'دمت', 'بحبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'احساسي', 'انها', 'عاشقه', 'بقلبها', 'وانا', 'صدقتها', 'خلاني', 'بقيت', 'انا', 'اقرب', 'الناس', 'بنيت', 'اجمل', 'قصر', 'بيت', 'احساسي', 'انها', 'عاشقه', 'بقلبها', 'وانا', 'صدقتها', 'خلاني', 'بقيت', 'انا', 'اقرب', 'الناس', 'بنيت', 'اجمل', 'قصر', 'بيت', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'بعيونك', 'اه', 'الاحلام', 'بلاش', 'نتكلم', 'جراح', 'دمت', 'حبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'بلاش', 'نتكلم', 'جراح', 'دمت', 'بحبك', 'انا', 'راضي', 'هندور', 'علي', 'شيء', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'ارق', 'ملاك', 'انا', 'قلبي', 'ملك', 'بعيونك', 'اه', 'الاحلام']",Positive,"**Positive**

The lyrics express themes of love, contentment (""راضي"" - content/satisfied), feeling like one's heart belongs to someone (""قلبي ملك"" - my heart is owned), describing the loved one as an ""ارق ملاك"" (most delicate angel), and building a beautiful house/palace (figuratively - ""بنيت اجمل قصر بيت"") based on feelings. The feeling is of being loved, accepted, and the love growing stronger. Even the phrase ""بلاش نتكلم جراح"" (let's not talk about wounds) suggests a desire to avoid negativity and focus on the positive aspects of the relationship."
أيامنا,"['هتلاقي', 'فين', 'ايامنا', 'هتلاقي', 'فين', 'احلامنا', 'ويرضي', 'ان', 'احنا', 'مانكونش', 'عاشقين', 'هتلاقي', 'فين', 'ايامنا', 'هتلاقي', 'فين', 'احلامنا', 'ويرضي', 'ان', 'احنا', 'مانكونش', 'عاشقين', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'نرجعش', 'كلامنا', 'اجمل', 'سنين', 'عشناها', 'الوجود', 'ينساها', 'اجمل', 'سنين', 'عشناها', 'الوجود', 'ينساها', 'وفين', 'هنلاقي', 'روحنا', 'عشنا', 'تايهين', 'اجمل', 'سنين', 'عشناها', 'الوجود', 'ينساها', 'اجمل', 'سنين', 'عشناها', 'الوجود', 'ينساها', 'وفين', 'هنلاقي', 'روحنا', 'عشنا', 'تايهين', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'نرجعش', 'كلامنا', 'اتقال', 'كلام', 'واتقال', 'الشوق', 'نسينا', 'اتقال', 'كلام', 'واتقال', 'الشوق', 'نسينا', 'واتقال', 'كلام', 'جرحنا', 'ناس', 'كتير', 'تانين', 'اتقال', 'كلام', 'واتقال', 'الشوق', 'نسينا', 'اتقال', 'كلام', 'واتقال', 'الشوق', 'نسينا', 'واتقال', 'كلام', 'جرحنا', 'ناس', 'كتير', 'تانين', 'وحبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'نرجعش', 'كلامنا', 'هتلاقي', 'فين', 'ايامنا', 'هتلاقي', 'فين', 'احلامنا', 'ويرضي', 'ان', 'احنا', 'مانكونش', 'عاشقين', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'حبينا', 'وعشقنا', 'وقولنا', 'غلطتنا', 'ان', 'الزمان', 'صالحنا', 'المهم', 'ان', 'احنا', 'نرجعش', 'كلامنا']",Positive,"**Mixed**

The lyrics express a blend of nostalgia, regret, and acceptance. While the song speaks of love and passion (""حبينا وعشقنا""), it also acknowledges mistakes and lost dreams (""هتلاقي فين ايامنا هتلاقي فين احلامنا""). The phrase ""اجمل سنين عشناها الوجود ينساها"" (the most beautiful years we lived, the world forgets them) carries a melancholic tone. The lyrics also mention pain inflicted on others (""اتقال كلام جرحنا ناس كتير تانيين""). Therefore, the overall sentiment isn't purely positive or negative, but rather a mix of both."
روحي أنا,"['روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'النار', 'القلب', 'الاشواق', 'النار', 'القلب', 'الاشواق', 'يريحهاش', 'لمس', 'ايديك', 'اه', 'ومنين', 'هنجيب', 'زينا', 'عشاق', 'ومنين', 'هنجيب', 'زينا', 'عشاق', 'بيشوفوا', 'الدنيا', 'ضي', 'عينيك', 'والحب', 'ايه', 'انت', 'وانا', 'وانا', 'روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'بيعدي', 'عليا', 'بسنه', 'حبيبي', 'واخره', 'ايه', 'حبيبي', 'واخره', 'ايه', 'وازاي', 'هتشوف', 'احلام', 'حرام', 'الحب', 'تروح', 'لياليه', 'حرام', 'الحب', 'تروح', 'لياليه', 'وسنينا', 'تضيع', 'فراق', 'وخصام', 'الحب', 'ايه', 'انت', 'وانا', 'وانا', 'روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'روحي', 'انا', 'ويا', 'قلبي', 'انا', 'مالناش', 'حياتي', 'غني', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'وفي', 'تعب', 'الشوق', 'وخلاص', 'بيعدي', 'عليا', 'بسنه', 'بيعدي', 'عليا', 'بسنه']",Positive,"**Mixed**

The lyrics contain both positive and negative elements. While there are expressions of love (""روحي انا ويا قلبي انا"" - My soul and my heart), there's also mention of ""تعب الشوق"" (the pain of longing), ""فراق و خصام"" (separation and disputes), and questions about the future of the relationship (""حبيبي واخره ايه"" - My love, what's the end?). Therefore, it showcases a blend of affection and sorrow."
عرفتي مين حبك,"['حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'قدر', 'يرتوي', 'بحبك', 'الا', 'شاء', 'القدر', 'عرفتي', 'حبك', 'حبك', 'طريق', 'اترسم', 'طول', 'عمري', 'ماشي', 'الجراح', 'والالم', 'قولت', 'ماشي', 'قولت', 'ماشي', 'حبك', 'حبك', 'طريق', 'اترسم', 'طول', 'عمري', 'ماشي', 'الجراح', 'والالم', 'قولت', 'ماشي', 'قولت', 'ماشي', 'قدر', 'يرتوي', 'بحبك', 'الا', 'شاء', 'القدر', 'عرفتي', 'حبك', 'حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'حبك', 'قلبي', 'انا', 'اغلي', 'شئ', 'باقي', 'اغلي', 'عمرنا', 'انتي', 'لاقي', 'انا', 'والله', 'لاقي', 'حبك', 'حبك', 'قلبي', 'انا', 'اغلي', 'شئ', 'باقي', 'اغلي', 'عمرنا', 'انتي', 'لاقي', 'انا', 'والله', 'لاقي', 'قدر', 'يرتوي', 'بحبك', 'الا', 'شاء', 'القدر', 'عرفتي', 'حبك', 'ليلي', 'ياعيني', 'ياليل', 'ليلي', 'ياعيني', 'ياليل', 'يا', 'ليل', 'ليلي', 'ياعيني', 'ياليل', 'قدر', 'يرتوي', 'بحبك', 'الا', 'شاء', 'القدر', 'عرفتي', 'حبك', 'حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'حبك', 'شئ', 'اتولد', 'جوايا', 'صغري', 'هعيش', 'معاه', 'للابد', 'وهضحي', 'وبعمري', 'قدر', 'يرتوي', 'بحبك', 'الا', 'شاء', 'القدر', 'عرفتي', 'حبك']",Positive,"**Mixed**

The lyrics express both positive and negative sentiments. There is a strong declaration of love (""حبك شئ اتولد جوايا صغري هعيش معاه للابد وهضحي وبعمري"" - ""Your love is something born within me in my youth, I will live with it forever and sacrifice my life for it"") and its preciousness (""حبك قلبي انا اغلي شئ باقي اغلي عمرنا انتي لاقي"" - ""Your love, my heart, is the most precious thing remaining, the most precious of our lives, you've found""). However, there are also mentions of pain and suffering (""الجراح والالم"" - ""the wounds and the pain""), which suggests a complex relationship with love. The recurring phrase ""الا شاء القدر"" implies acceptance of fate and its role in love, which can be interpreted as both positive (acceptance) and negative (resignation)."
لما كان,"['فاكر', 'فاكر', 'لينا', 'مكان', 'مكان', 'لينا', 'مكان', 'مكان', 'فكرتني', 'عينيك', 'بزمان', 'فكرتني', 'عينيك', 'بزمان', 'وليالي', 'زمان', 'فكرتني', 'عينيك', 'بزمان', 'لينا', 'مكان', 'مكان', 'لينا', 'مكان', 'مكان', 'فكرتني', 'عينيك', 'بزمان', 'فكرتني', 'عينيك', 'بزمان', 'وليالي', 'زمان', 'اول', 'لقا', 'بينا', 'اتقابلنا', 'اول', 'لقا', 'بينا', 'اتقابلنا', 'السلام', 'بايديك', 'الكلام', 'بعينيك', 'السلام', 'بايديك', 'الكلام', 'بعينيك', 'يتحس', 'بقلوبنا', 'فاكر', 'لينا', 'مكان', 'مكان', 'لينا', 'مكان', 'مكان', 'فكرتني', 'عينيك', 'بزمان', 'فكرتني', 'عينيك', 'بزمان', 'وليالي', 'زمان', 'اللقا', 'صدفه', 'وقلوبنا', 'عارفه', 'اللقا', 'صدفه', 'وقلوبنا', 'عارفه', 'ان', 'اللقا', 'مكتوب', 'وان', 'الفراق', 'مكتوب', 'ان', 'اللقا', 'مكتوب', 'وان', 'الفراق', 'مكتوب', 'والوعد', 'مكتوبنا', 'فاكر', 'لينا', 'مكان', 'مكان', 'لينا', 'مكان', 'مكان', 'فكرتني', 'عينيك', 'بزمان', 'فكرتني', 'عينيك', 'بزمان', 'وليالي', 'زمان', 'فكرتني', 'عينيك', 'بزمان', 'وليالي', 'زمان', 'لينا', 'مكان', 'مكان', 'لينا', 'مكان', 'مكان', 'فكرتني', 'عينيك', 'بزمان']",Positive,"**Mixed**

The lyrics evoke nostalgia and remembrance of a special place and past times (""remember,"" ""our place,"" ""your eyes reminded me of a past time,"" ""past nights""). However, they also mention the inevitability of separation (""separation is written""), introducing a sense of melancholy that balances the positive remembrance."
طبع الحياة,"['ايام', 'ايام', 'ايام', 'بنحزن', 'ايام', 'وايام', 'بنفرح', 'ايام', 'ونداوي', 'ياما', 'يجرح', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'الشمس', 'طالعه', 'طبع', 'الحياه', 'احنا', 'صحيح', 'زمان', 'عشاق', 'بنتحدي', 'الزمان', 'احنا', 'صحيح', 'زمان', 'عشاق', 'بنتحدي', 'الزمان', 'خلاص', 'خلاص', 'هنقول', 'وداع', 'بلاش', 'نقول', 'قلب', 'علي', 'هواه', 'ويا', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'الشمس', 'طالعه', 'طبع', 'الحياه', 'ايام', 'بنحزن', 'ايام', 'وايام', 'بنفرح', 'ايام', 'ونداوي', 'ياما', 'يجرح', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'حب', 'خدنا', 'سنين', 'معاه', 'افترقنا', 'وقلنا', 'اه', 'الشمس', 'طالعه', 'طبع', 'الحياه']",Mixed,"**Mixed**

The lyrics contain elements of sadness (""we grieve,"" ""wound""), loss (""we parted,"" ""ah""), and farewell (""goodbye""). However, there are also elements of resilience (""we challenge time,"" ""the sun rises, it's the nature of life"") and acceptance. This combination of contrasting emotions results in a mixed sentiment."
هواك حيرني,"['حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني', 'وخداك', 'الدنيا', 'بعيد', 'وابعتلك', 'الف', 'سؤال', 'فاكرني', 'اكيد', 'خطرنا', 'علي', 'البال', 'وخداك', 'الدنيا', 'بعيد', 'وابعتلك', 'الف', 'سؤال', 'فاكرني', 'اكيد', 'خطرنا', 'علي', 'البال', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'يا', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني', 'طب', 'قولي', 'ازاي', 'وعينيا', 'مطرح', 'تروح', 'وياك', 'قلبك', 'مايخافش', 'عليا', 'وانا', 'عايش', 'عمري', 'اهواك', 'طب', 'قولي', 'ازاي', 'وعينيا', 'مطرح', 'تروح', 'وياك', 'قلبك', 'مايخافش', 'عليا', 'وانا', 'عايش', 'عمري', 'اهواك', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'يا', 'حبيبي', 'هواك', 'حيرني', 'حبيبي', 'هواك', 'حيرني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'حبيبي', 'هواك', 'حيرني', 'تبعد', 'وتقولي', 'شاريني', 'ازاي', 'البعد', 'فاكرني', 'اذا', 'قربي', 'ناسيني']",Positive,"**Mixed**

The lyrics express a mix of emotions. There is love and longing (""حبيبي هواك"" - my beloved, your love, ""اهواك"" - I adore you). However, there's also confusion and frustration (""حيرني"" - bewilders me, ""تبعد وتقولي شاريني"" - you distance yourself and tell me you are buying me (meaning you care), ""ازاي البعد فاكرني اذا قربي ناسيني"" - how does distance remember me when my closeness makes you forget me?, ""قلبك مايخافش عليا"" - your heart doesn't fear for me?). The repetition of ""حيرني"" emphasizes the bewilderment and emotional turmoil. Therefore, it's not purely positive due to the conflicting emotions."
جالك قلب,"['جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'انت', 'واخد', 'قلبي', 'تروح', 'وياك', 'انسي', 'الناس', 'والدنيا', 'وانت', 'بنساك', 'انت', 'واخد', 'قلبي', 'تروح', 'وياك', 'انسي', 'الناس', 'والدنيا', 'وانت', 'بنساك', 'قولي', 'ازاي', 'ازاي', 'حبيبي', 'تبعد', 'تبعد', 'وتغل', 'بني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'حبيبي', 'هعيش', 'واقدر', 'واشتاق', 'تبقي', 'عيونك', 'انت', 'زادي', 'الاشواق', 'حبيبي', 'هعيش', 'واقدر', 'واشتاق', 'تبقي', 'عيونك', 'انت', 'زادي', 'الاشواق', 'قولي', 'ازاي', 'ازاي', 'حبيبي', 'تبعد', 'تبعد', 'وتغل', 'بني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني', 'جالك', 'قلب', 'قلب', 'ازاي', 'تعشق', 'وتسيبني', 'هيبقي', 'الشوق', 'الشوق', 'وانت', 'كمان', 'تتعبني']",Negative,"**Mixed**

The lyrics express a blend of longing, heartbreak, and enduring affection. Phrases like ""تعشق وتسيبني"" (love and leave me), ""الشوق"" (longing), and ""تتعبني"" (you tire me) indicate sadness and pain. However, the repeated use of ""حبيبي"" (my love) and lines such as ""هعيش واقدر واشتاق"" (I will live, appreciate, and long) suggest a lingering love and a willingness to endure the pain, demonstrating a mixed sentiment rather than purely negative."
